SUPERS,CODIGO,TURMA,CR,DISCIPLINA,2,3,4,5,6,INICIO,FINAL,SALA,VAGAS,PROFESSORES1,H1,PROFESSORES2,H2,PROFESSORES3,H3,PROFESSORES4,H4,PROFESSORES5,H5,PROFESSORES6,H6,PROFESSORES7,H7,PROFESSORES8,H8,PROFESSORES9,H9,PROFESSORES10,H10,PERIODO
Jorge Langone,DSG1803,1AC,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,TRUE,FALSE,FALSE,FALSE,FALSE,13,15,L232,24 ART,LUCIANA GRETHER DE MELLO CARVALHO,1,PALESTRA,1,,,,,,,,,,,,,,,,,3o
Jorge Langone,DSG1803,1AD,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,TRUE,FALSE,FALSE,FALSE,FALSE,13,15,L260,24 ART,RIAN OLIVEIRA REZENDE,2,,1,,,,,,,,,,,,,,,,,3o
Jorge Langone,DSG1803,1AE,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,TRUE,FALSE,FALSE,FALSE,FALSE,13,15,IAG3,24 ART,CLAUDIO GOMES WERNECK DE FREITAS,2,,1,,,,,,,,,,,,,,,,,3o
Jorge Langone,DSG1804,1AA,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,FALSE,TRUE,FALSE,FALSE,FALSE,9,11,ART4,17 ART,MARIA JULIA MORAES PINTO NUNES,2,,,,,,,,,,,,,,,,,,,4o
Jorge Langone,DSG1804,1AB,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,FALSE,TRUE,FALSE,FALSE,FALSE,9,11,ART5,18 ART,CLAUDIO GOMES WERNECK DE FREITAS,2,,,,,,,,,,,,,,,,,,,4o
Jorge Langone,DSG1804,1AC,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,FALSE,TRUE,FALSE,FALSE,FALSE,9,11,L120,18 ART,GILBERTO MENDES CORREIA JUNIOR,2,,,,,,,,,,,,,,,,,,,4o
Jorge Langone,DSG1805,1AA,2,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,L120,21 ART,ROMULO MIYAZAWA MATTEONI,2,,,,,,,,,,,,,,,,,,,5o
Jorge Langone,DSG1805,1AB,2,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,ART2,21 ART,VERA LUCIA MOREIRA DOS SANTOS NOJIMA,2,,,,,,,,,,,,,,,,,,,5o
Jorge Langone,DSG1805,1AC,2,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,ART3,22 ART,FLAVIA NIZIA DA FONSECA RIBEIRO,2,,,,,,,,,,,,,,,,,,,5o
Jorge Langone,DSG1805,1AD,2,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,L232,22 ART,IRINA ARAGAO DOS SANTOS,2,,,,,,,,,,,,,,,,,,,5o
Jorge Langone,DSG1806,1AA,2,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA RESSIGNIFICAR A PRÁTICA,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,L260,12 ART,ROBERTA PORTAS GONCALVES RODRIGUES,2,,,,,,,,,,,,,,,,,,,6o
Jorge Langone,DSG1806,1AB,2,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA RESSIGNIFICAR A PRÁTICA,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,L422,12 ART,PRISCILA ANDRADE SILVA,2,,,,,,,,,,,,,,,,,,,6o
Claudia Bolshaw,DSG1811,1AA,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,L232,18 CAL/2 QQC,FLAVIA NIZIA DA FONSECA RIBEIRO,2,PALESTRA,2,,,,,,,,,,,,,,,,,1o 
Claudia Bolshaw,DSG1811,1AB,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,L232,18 CAL/2 QQC,LUIS VICENTE BARROS CARDOSO DE MELO,2,PALESTRA,2,,,,,,,,,,,,,,,,,1o 
Claudia Bolshaw,DSG1811,1AC,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,L260,18 CAL/2 QQC,MARIO AUGUSTO PINTO DE SOUZA SEIXAS,2,PALESTRA,2,,,,,,,,,,,,,,,,,1o 
Claudia Bolshaw,DSG1811,1AD,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,L260,18 CAL/2 QQC,CARLOS ANDRE LAMEIRAO CORTES,2,PALESTRA,2,,,,,,,,,,,,,,,,,1o 
Claudia Bolshaw,DSG1811,1AE,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,L532,18 CAL/2 QQC,LUIZA FERRO COSTA MARCIER,2,PALESTRA,2,,,,,,,,,,,,,,,,,1o 
Claudia Bolshaw,DSG1811,1AF,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,L532,18 CAL/2 QQC,CLAUDIO GOMES WERNECK DE FREITAS,2,PALESTRA,2,,,,,,,,,,,,,,,,,1o 
Claudia Bolshaw,DSG1811,1AG,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,ART4,18 CAL/2 QQC,BARBARA DE OLIVEIRA E CRUZ,2,PALESTRA,2,,,,,,,,,,,,,,,,,1o 
