Dom. Ad.,EQUIV.,SUPERVISÃO,CODIGO,CR.,TUR,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,PERIODIZACAO
,,Jorge,DSG1802,2,1AB,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS ,,,,5,,13-15,ART 2,28 ART,João Bonelli 1 Lula Rocha 1 Jorge Langone 0,2º
,,Jorge,DSG1802,2,1AC,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS ,,,,5,,13-15,ART 3,28 ART,Renata Mattos 1 Lula Rocha 1 Jorge Langone 0,2º
,,Jorge,DSG1803,2,1AA,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA ,2,,,,,13-15,VIRTUAL,24 ART ,Luis Vicente 1  Olivia Hirch 1 Jorge Langone 0,3º
,,Jorge,DSG1803,2,1AB,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,2,,,,,13-15,VIRTUAL,24 ART ,Carlos André 1 Palestra 1 Jorge Langone 0,3º
,,Jorge,DSG1803,2,1AC,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA ,2,,,,,13-15,VIRTUAL,24 ART ,Luciana Grether 1 Palestra 1 Jorge Langone 0,3º
,,Jorge,DSG1804,2,1AA,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,,3,,,,09-11,S/sala ,25 ART ,Claudio Werneck 2 Jorge Langone 0,4º
,,Jorge,DSG1804,2,1AB,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,,3,,,,09-11,ART3,25 ART ,Izabel Oliveira 2 Jorge Langone 0,4º
,,Jorge,DSG1804,2,1AC,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,,3,,,,09-11,IAG 3,25 ART ,Gilberto Mendes 2 Jorge Langone 0,4º
,,Jorge,DSG1804,2,1AD,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,,3,,,,09-11,S/sala,25 ART ,Maria Julia 2 Jorge Langone 0,4º
,,Jorge,DSG1805,2,1AA,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,,,,,6,07-09,VIRTUAL,20 ART ,Romulo Matteoni 2 Jorge Langone 0,5º
,,Jorge,DSG1805,2,1AB,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,,,,,6,07-09,VIRTUAL,20 ART ,Vera Nojima 2 Jorge Langone 0,5º
,,Jorge,DSG1806,2,1AA,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA RESSIGNIFICAR A PRÁTICA ,,,4,,,08-10,L 422,27 ART,Roberta Portas 2 Jorge Langone 0,6º
,,Jorge,DSG1806,2,1AB,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA RESSIGNIFICAR A PRÁTICA ,,,4,,,08-10,L 532,27 ART,Jorge Langone 2 ,6º
,,Jorge,DSG1806,2,1AC,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA RESSIGNIFICAR A PRÁTICA ,,,4,,,08-10,L 658,27 ART,Priscila Andrade 2 Jorge Langone 0,6º
,,Bolshaw,DSG1811,4,1AA,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 232,15 CAL ,Luiza Marcier 2 Claudio Werneck 0 Claudia Bolshaw 1  Palestra 1,1º
,,Bolshaw,DSG1811,4,1AB,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 232,15 CAL ,Claudio Werneck 2   Luiza Marcier 0  Claudia Bolshaw 1  Palestra 1,1º
,,Bolshaw,DSG1811,4,1AC,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 260,15 CAL ,Mario Seixas 2  Carlos André 0  Nathalia Cavalvante 1Claudia Bolshaw 0 Palestra 1,1º
,,Bolshaw,DSG1811,4,1AD,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 260,15 CAL ,Carlos André 2 Mario Seixas 0 Nathalia Cavalcante 1 Claudia Bolshaw 0 Palestra 1,1º
,,Bolshaw,DSG1811,4,1AE,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 532,13 ART/ 4 QQC,Flavia Nizia 2 Luiz Vicente 0 Barbara Cruz 1 Claudia Bolshaw 0 Palestra 1,1º
,,Bolshaw,DSG1811,4,1AF,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 532,14 ART/ 3 QQC,Luis Vicente 2 Flavia Nizia 0 Barbara Cruz 1 Claudia Bolshaw 0 Palestra 1,1º
,,Bel,DSG1812,4,1AA,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 260,14 ART,Isabel Martins 3  Palestra 1,2º
